,Team_1_Name,Team_2_Name,Team_1_pitcher_name,Team_2_pitcher_name,Team_1_Lineup,Team_2_Lineup,Team_1_Score,Team_2_Score,Win_team,Team_1_pitcher_WHIP,Team_1_pitcher_piAn,Team_1_pitcher_piHom,Team_1_pitcher_sam,Team_1_pitcher_ball,Team_1_pitcher_ja,Team_1_pitcher_war,Team_2_pitcher_WHIP,Team_2_pitcher_piAn,Team_2_pitcher_piHom,Team_2_pitcher_sam,Team_2_pitcher_ball,Team_2_pitcher_ja,Team_2_pitcher_war,Team_1_hitter_hit,Team_1_hitter_homrun,Team_1_hitter_sam,Team_1_hitter_ball,Team_1_hitter_deg,Team_1_hitter_ta,Team_1_hitter_chul,Team_1_hitter_do,Team_1_hitter_war,Team_1_hitter_ops,Team_2_hitter_hit,Team_2_hitter_homrun,Team_2_hitter_sam,Team_2_hitter_ball,Team_2_hitter_deg,Team_2_hitter_ta,Team_2_hitter_chul,Team_2_hitter_do,Team_2_hitter_war,Team_2_hitter_ops
0,두산,LG,알칸타라,차우찬,박건우 허경민 오재일 김재환 페르난데스 김재호 박세혁 오재원 정수빈 ,이천웅 정근우 김현수 라모스 채은성 박용택 김민성 유강남 오지환 ,2,8,1,1.03,0.2188679245283019,0.01509433962264151,0.9182643794147326,0.1513622603430878,2.542885973763875,8.29,1.55,0.24738675958188155,0.027874564459930317,0.796875,0.4375,5.34375,0.2,0.29366666666666674,0.0249678052325341,0.15884194423636017,0.012143907910741271,0.15718618193378842,0.15452899292060263,0.299852145537442,0.658068783068783,0.658068783068783,0.658068783068783,0.27822222222222215,0.029601669495755194,0.18475558852640875,0.0129063516601301,0.1426008803387397,0.16344111086311752,0.28593074419296133,0.5968152218152218,2.285555555555556,0.771
1,한화,SK,서폴드,킹엄,이용규 정은원 호잉 이성열 송광민 김태균 정진호 최재훈 하주석 ,노수광 고종욱 최정 로맥 한유섬 윤석민 이재원 김창평 정현 ,3,0,0,1.49,0.276566757493188,0.025885558583106268,0.5878787878787879,0.2545454545454545,4.909090909090909,1.33,1.88,0.3076923076923077,0.019230769230769232,0.5882352941176471,0.3921568627450981,7.0588235294117645,-0.32,0.23963877314814822,0.013157806866073615,0.2066774413497944,0.014790895415864251,0.10215679398384572,0.1031156805003564,0.24742912614404794,0.37297213604245905,0.37297213604245905,0.37297213604245905,0.20493043981481493,0.025673522179255826,0.2415307089224686,0.010983141152578535,0.11922653510532928,0.10669454632820455,0.21187001527589114,0.400622735695787,0.9355555555555554,0.6025344503086418
2,롯데,KT,스트레일리,데스파이네,민병헌 전준우 손아섭 이대호 안치홍 정훈 마차도 한동희 정보근 ,심우준 김민혁 강백호 유한준 로하스 황재균 박경수 장성우 배정대 ,7,2,0,1.02,0.19047619047619047,0.012870012870012873,1.055612770339856,0.2626158599382081,2.502574665293512,7.51,1.45,0.2571743929359823,0.019867549668874173,0.7335907335907337,0.3281853281853282,4.343629343629344,3.18,0.25483310185185204,0.025611976268737957,0.18997292538644633,0.010614595640460738,0.1353561316574425,0.13337788699808206,0.26066576525324675,0.6173549474661817,0.6173549474661817,0.6173549474661817,0.2878888888888889,0.036328696512557795,0.2068730029971188,0.008624156883535425,0.1515142973168969,0.16443478073738482,0.29117764937173723,0.3867715846402973,2.887777777777778,0.814111111111111
3,NC,삼성,루친스키,백정현,박민우 알테어 나성범 양의지 박석민 모창민 노진혁 김성욱 이명기 ,김헌곤 구자욱 살라디노 이원석 김상수 김동엽 강민호 박해민 이성규 ,4,0,0,1.26,0.22467532467532467,0.01818181818181818,0.9125683060109292,0.3114754098360656,3.0491803278688523,5.59,1.42,0.2596899224806202,0.050387596899224806,0.7796610169491526,0.288135593220339,5.186440677966102,0.13,0.29900000000000004,0.04020846587903363,0.19559507551963384,0.019986822301401953,0.16690942526141836,0.17071178685713562,0.31013005949340666,0.49000835421888056,0.49000835421888056,0.49000835421888056,0.26774988425925933,0.030080773958246723,0.20203271708274237,0.01580086971137438,0.14135791451712915,0.14866792452838576,0.2776950397431199,0.4921948095042629,1.8388888888888886,0.7443246354938272
4,키움,KIA,브리검,양현종,서건창 김하성 이정후 박병호 이택근 이지영 모터 임병욱 박준태 ,최원준 김선빈 터커 최형우 장영석 유민상 나지완 한승택 박찬호 ,11,2,0,1.31,0.2149122807017544,0.013157894736842105,0.9813084112149532,0.3925233644859813,3.616822429906542,2.36,1.42,0.2412868632707775,0.01742627345844504,0.8657757117954678,0.3718768158047647,4.706565950029052,2.56,0.25300000000000006,0.022552759192444306,0.2305887931603281,0.014223486682404767,0.14226362265745254,0.14367126806777406,0.2613602339826299,0.5341606541606542,0.5341606541606542,0.5341606541606542,0.25819432870370373,0.025310226170834418,0.20333897439163182,0.018811950792567724,0.12901090593703243,0.14013656673032257,0.2695254841432957,0.16808651512742634,2.2122222222222225,0.723324635493827
5,두산,LG,이영하,송은범,박건우 페르난데스 오재일 김재환 최주환 김재호 박세혁 허경민 정수빈 ,이천웅 정근우 김현수 라모스 채은성 박용택 김민성 유강남 오지환 ,5,2,0,1.62,0.2446280991735537,0.014876033057851241,0.6439393939393939,0.5,4.636363636363637,1.99,1.52,0.26720647773279355,0.016194331983805668,0.5,0.3392857142857143,4.5,0.81,0.30166666666666675,0.02493913139740865,0.138383162874353,0.013477241244074603,0.15304281275816117,0.1540630430998141,0.30883746221506636,0.6395502645502646,0.6395502645502646,0.6395502645502646,0.27822222222222215,0.029601669495755194,0.18475558852640875,0.0129063516601301,0.1426008803387397,0.16344111086311752,0.28593074419296133,0.5968152218152218,2.285555555555556,0.771
6,한화,SK,임준섭,핀토,이용규 정은원 호잉 이성열 송광민 김태균 정진호 최재훈 하주석 ,김강민 윤석민 최정 로맥 정의윤 한유섬 이재원 김창평 정현 ,2,5,1,2.77,0.3673469387755102,0.020408163265306117,0.7317073170731708,0.7317073170731708,14.26829268292683,-0.53,1.78,0.2584856396866841,0.0248041775456919,0.6913580246913579,0.5555555555555556,6.166666666666668,-0.22,0.23963877314814822,0.013157806866073615,0.2066774413497944,0.014790895415864251,0.10215679398384572,0.1031156805003564,0.24742912614404794,0.37297213604245905,0.37297213604245905,0.37297213604245905,0.18534699074074093,0.029477397773211827,0.25695431795433216,0.012187443693904627,0.11753902660825116,0.11047192145155812,0.19277193778201257,0.39078622976293736,0.9744444444444444,0.5685257524691358
7,롯데,KT,서준원,쿠에바스,민병헌 전준우 손아섭 이대호 안치홍 정훈 마차도 한동희 정보근 ,심우준 김민혁 강백호 유한준 로하스 황재균 박경수 장성우 배정대 ,9,4,0,1.5,0.2708333333333333,0.03333333333333333,0.5597014925373134,0.2891791044776119,5.205223880597014,0.54,1.25,0.2275449101796407,0.023952095808383242,0.6962025316455697,0.2911392405063291,4.10126582278481,2.61,0.25483310185185204,0.025611976268737957,0.18997292538644633,0.010614595640460738,0.1353561316574425,0.13337788699808206,0.26066576525324675,0.6173549474661817,0.6173549474661817,0.6173549474661817,0.2878888888888889,0.036328696512557795,0.2068730029971188,0.008624156883535425,0.1515142973168969,0.16443478073738482,0.29117764937173723,0.3867715846402973,2.887777777777778,0.814111111111111
8,NC,삼성,라이트,라이블리,박민우 알테어 나성범 양의지 박석민 모창민 노진혁 김성욱 이명기 ,박해민 김동엽 구자욱 살라디노 김상수 이원석 김헌곤 강민호 이성규 ,4,3,0,1.44,0.23563218390804605,0.017241379310344827,0.7951653944020357,0.400763358778626,4.69465648854962,2.01,1.22,0.20502092050209209,0.02301255230125523,0.8482142857142857,0.3482142857142857,4.258928571428571,2.72,0.29900000000000004,0.04020846587903363,0.19559507551963384,0.019986822301401953,0.16690942526141836,0.17071178685713562,0.31013005949340666,0.49000835421888056,0.49000835421888056,0.49000835421888056,0.26774988425925933,0.030080773958246727,0.20203271708274237,0.015800869711374378,0.14135791451712912,0.14866792452838576,0.2776950397431199,0.4921948095042629,1.8388888888888886,0.7443246354938272
9,키움,KIA,요키시,브룩스,서건창 김하성 이정후 박병호 이택근 박동원 모터 임병욱 박준태 ,박찬호 김선빈 터커 이우성 최형우 장영석 황윤호 한승택 최원준 ,3,2,0,1.06,0.225,0.009375,0.7223618090452262,0.157035175879397,2.148241206030151,5.48,1.02,0.2235494880546075,0.006825938566552901,0.8603573792190603,0.15883520847121113,2.501654533421575,7.17,0.24600000000000005,0.026732487510103663,0.24272836584520954,0.014590697955790858,0.14811470228559714,0.14558292675569576,0.25494270341761804,0.47860509860509864,0.47860509860509864,0.47860509860509864,0.24808321759259266,0.018994936522211434,0.19007007129222023,0.01659552315241127,0.11820596490610269,0.11336191848674772,0.25832676242771124,0.3903087373496486,1.7822222222222222,0.6714357466049381
