,Team_1_Name,Team_2_Name,Team_1_pitcher_name,Team_2_pitcher_name,Team_1_Lineup,Team_2_Lineup,Team_1_Score,Team_2_Score,Win_team,Team_1_pitcher_WHIP,Team_1_pitcher_piAn,Team_1_pitcher_piHom,Team_1_pitcher_sam,Team_1_pitcher_ball,Team_1_pitcher_ja,Team_1_pitcher_war,Team_2_pitcher_WHIP,Team_2_pitcher_piAn,Team_2_pitcher_piHom,Team_2_pitcher_sam,Team_2_pitcher_ball,Team_2_pitcher_ja,Team_2_pitcher_war,Team_1_hitter_hit,Team_1_hitter_homrun,Team_1_hitter_sam,Team_1_hitter_ball,Team_1_hitter_deg,Team_1_hitter_ta,Team_1_hitter_chul,Team_1_hitter_do,Team_1_hitter_war,Team_1_hitter_ops,Team_2_hitter_hit,Team_2_hitter_homrun,Team_2_hitter_sam,Team_2_hitter_ball,Team_2_hitter_deg,Team_2_hitter_ta,Team_2_hitter_chul,Team_2_hitter_do,Team_2_hitter_war,Team_2_hitter_ops
0,한화,두산,서폴드,린드블럼,정근우 송광민 호잉 김태균 이성열 하주석 김민하 최재훈 정은원 ,허경민 정수빈 박건우 김재환 오재일 페르난데스 오재원 박세혁 김재호 ,4,5,1,1.27,0.2358024691358025,0.009876543209876543,0.702758979698074,0.2811035918792296,3.5137948984903686,4.18,1.0,0.21345407503234154,0.01681759379042691,0.9732234809474768,0.14933058702368693,2.502574665293512,6.83,0.25907565543071165,0.019494350621077426,0.21860714736261314,0.015039122235401388,inf,0.11996202699075376,0.26775391651411173,0.6312801825757131,0.6312801825757131,0.6312801825757131,0.27811111111111114,0.018715629938729477,0.162440783686792,0.01401715162610216,0.15619318761507273,0.14329299852416966,0.28591036794847235,0.6724673202614379,3.0644444444444443,0.7593333333333333
1,KT,SK,쿠에바스,김광현,황재균 박경수 강백호 로하스 유한준 윤석민 오승택 장성우 배정대 ,노수광 한유섬 최정 로맥 이재원 정의윤 김강민 최항 김성현 ,4,7,1,1.17,0.2013157894736842,0.02368421052631579,0.7336956521739131,0.3423913043478261,3.619565217391304,3.58,1.24,0.2519083969465649,0.01653944020356234,0.9468700683850604,0.1998947922146239,2.5092056812204104,6.38,0.27566666666666667,0.024977918983236005,0.20534025718181892,0.005702329974114049,0.13128232236630408,0.13741075292599075,0.27862851584556153,0.41456582633053224,0.41456582633053224,0.41456582633053224,0.25268211701665044,0.023688717257934828,0.18973344119330304,0.01604870096406805,inf,0.1288736841909454,0.26255678357825424,0.6316536976606264,1.9533333333333331,0.6966318343643482
2,LG,KIA,윌슨,양현종,이형종 오지환 김현수 조셉 채은성 박용택 양종민 유강남 정주현 ,김선빈 해즐베이커 안치홍 최형우 김주찬 이명기 나지완 한승택 최원준 ,2,0,0,1.16,0.22411533420707733,0.009174311926605505,0.7405405405405405,0.23243243243243245,2.918918918918919,3.39,1.07,0.22571819425444603,0.008207934336525308,0.8849077090119436,0.17915309446254074,2.2964169381107493,7.41,0.26122222222222224,0.021218087090450213,0.20345485807328506,0.014413702477628397,0.10976747292451446,0.13000575324474622,0.26915015654758234,0.4559433621933622,0.4559433621933622,0.4559433621933622,0.2503333333333333,0.02036622555325365,0.20848375390465934,0.012513793130181536,0.12036323976555413,0.11462645359461139,0.2581311441367681,0.5462962962962963,1.3433333333333333,0.6932222222222222
3,키움,롯데,브리검,레일리,서건창 김하성 박병호 샌즈 장영석 임병욱 허정협 김혜성 주효상 ,민병헌 손아섭 전준우 이대호 채태인 한동희 아수아헤 안중열 신본기 ,7,4,0,1.23,0.22122571001494767,0.007473841554559044,0.8222643896268185,0.290955091714105,2.9601518026565468,3.67,1.41,0.24146649810366624,0.012642225031605562,0.7734806629834254,0.35911602209944754,3.8784530386740332,4.1,0.2666666666666666,0.02093549415435932,0.22122266542504881,0.015021853820435586,0.14362222343939102,0.1541986258050172,0.27644198494222283,0.41979153066109587,0.41979153066109587,0.41979153066109587,0.25988888888888884,0.020839550188591308,0.1979279928745137,0.011228247905016675,0.11944688400951417,0.11363060088739789,0.26656153282941114,0.4649122807017544,1.4999999999999998,0.7044444444444445
4,삼성,NC,맥과이어,버틀러,박해민 구자욱 이원석 러프 김동엽 김헌곤 강민호 이학주 김상수 ,이상호 노진혁 박석민 베탄코트 양의지 모창민 권희동 지석훈 김성욱 ,0,7,1,1.65,0.232421875,0.025390625,0.8920606601248885,0.5887600356824264,5.057983942908118,0.75,1.44,0.2392638036809816,0.018404907975460124,0.6693989071038251,0.3825136612021858,4.795081967213116,0.07,0.2581111111111111,0.027282702188817416,0.18346859887654263,0.018614564830752117,0.12667227083475405,0.13196738528709845,0.2696070469791353,0.6378292655174376,0.6378292655174376,0.6378292655174376,0.26977777777777784,0.03024151269001968,0.19111433294939636,0.01896101440989321,0.12929676537141632,0.13364778199872007,0.27965626746812433,0.4746031746031746,1.8511111111111107,0.7604444444444446
5,삼성,NC,백정현,루친스키,박해민 구자욱 이원석 러프 김동엽 김헌곤 강민호 이학주 김상수 ,이상호 노진혁 박석민 베탄코트 양의지 모창민 권희동 지석훈 김성욱 ,4,3,0,1.36,0.23338257016248154,0.025110782865583457,0.5222929936305732,0.35668789808917195,4.24203821656051,2.06,1.18,0.2243502051983584,0.01778385772913817,0.6719367588932806,0.2540937323546019,3.049124788255224,4.7,0.2581111111111111,0.027282702188817416,0.18346859887654263,0.018614564830752117,0.12667227083475405,0.13196738528709845,0.2696070469791353,0.6378292655174376,0.6378292655174376,0.6378292655174376,0.26977777777777784,0.03024151269001968,0.19111433294939636,0.01896101440989321,0.12929676537141632,0.13364778199872007,0.27965626746812433,0.4746031746031746,1.8511111111111107,0.7604444444444446
6,키움,롯데,요키시,김원중,이정후 김하성 박병호 샌즈 서건창 장영석 임병욱 이지영 김혜성 ,민병헌 손아섭 전준우 이대호 채태인 한동희 아수아헤 나종덕 신본기 ,2,6,1,1.13,0.2225201072386059,0.012064343163538872,0.7785753727222529,0.21535063500828272,3.130866924351188,4.21,1.7,0.2618556701030928,0.026804123711340205,0.910871694417238,0.4603330068560235,5.729676787463273,-0.35,0.28622222222222216,0.02245768470094011,0.18120093509262727,0.01452291071030166,0.15927120036329,0.1492018950995842,0.294793349834775,0.5846063454759107,0.5846063454759107,0.5846063454759107,0.25244444444444447,0.021007365062288532,0.21728411370122278,0.013197864580515702,0.11848415657619851,0.11817043483899653,0.2604532881120537,0.4649122807017544,1.3644444444444441,0.6881111111111111
7,LG,KIA,켈리,터너,이형종 오지환 김현수 조셉 채은성 박용택 양종민 유강남 정주현 ,김선빈 해즐베이커 안치홍 최형우 김주찬 이명기 나지완 한승택 최원준 ,9,3,0,1.14,0.21954484605087016,0.009370816599732264,0.6996113270405331,0.2276513048306497,2.5485841199333703,3.97,1.55,0.2507002801120448,0.01680672268907563,0.7903331156107121,0.3788373612018289,5.5258001306335744,-0.46,0.26122222222222224,0.021218087090450213,0.20345485807328506,0.014413702477628397,0.10976747292451446,0.13000575324474622,0.26915015654758234,0.4559433621933622,0.4559433621933622,0.4559433621933622,0.2503333333333333,0.02036622555325365,0.20848375390465934,0.012513793130181536,0.12036323976555413,0.11462645359461139,0.2581311441367681,0.5462962962962963,1.3433333333333333,0.6932222222222222
8,KT,SK,금민철,산체스,황재균 박경수 강백호 로하스 유한준 윤석민 오승택 장성우 김민혁 ,김강민 한유섬 최정 로맥 이재원 정의윤 강승호 김성현 노수광 ,3,6,1,1.6,0.2509505703422053,0.019011406844106463,0.456140350877193,0.43859649122807015,5.052631578947368,-0.17,1.17,0.22503725782414308,0.002980625931445604,0.8969696969696971,0.2545454545454545,2.6181818181818186,5.91,0.2843333333333333,0.024977918983236005,0.18535031015324532,0.007300494662407493,0.12497343837501666,0.13603169146109237,0.28859834399720785,0.49095471521942113,0.49095471521942113,0.49095471521942113,0.24445989479442826,0.029386722955940518,0.22001811714727035,0.014298919686727717,inf,0.1308702294945773,0.2527277237491944,0.5205425865495151,1.911111111111111,0.6869651676976817
9,한화,두산,채드벨,이용찬,정근우 장진혁 송광민 호잉 김태균 이성열 최재훈 하주석 정은원 ,허경민 정수빈 박건우 김재환 오재일 페르난데스 오재원 박세혁 김재호 ,11,1,0,1.31,0.22563417890520696,0.018691588785046728,0.7566346696781479,0.3557312252964427,3.5064935064935066,4.45,1.44,0.25806451612903225,0.02304147465437788,0.6887238352464551,0.3038487508440243,4.071573261309927,1.32,0.2588534332084894,0.018069306529366665,0.20826499568712817,0.014136123999069815,inf,0.11598319101191779,0.2671699594084155,0.6321620167908807,0.6321620167908807,0.6321620167908807,0.27811111111111114,0.018715629938729477,0.162440783686792,0.01401715162610216,0.15619318761507273,0.14329299852416966,0.28591036794847235,0.6724673202614379,3.0644444444444443,0.7593333333333333
